Key,Type,Desc,Chinese,English,Japanese
Chapter_Name_300030,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300031,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300032,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
ConditionType_ChapterComplete,Text,,完成章节{0},完成章节{0},完成章节{0}
ConditionType_RalationLevel,Text,,关系突破至“{0}”,关系突破至“{0}”,关系突破至“{0}”
ConditionType_RoleLevel,Text,,角色等级达到{0}级,角色等级达到{0}级,角色等级达到{0}级
DateChapterName_100001,Text,,初见,初见,初见
DateChapterName_100002,Text,,悸动,悸动,悸动
DateChapterName_100003,Text,,难言之隐,难言之隐,难言之隐
DateChapterName_100004,Text,,绽放,绽放,绽放
DateChapterName_100101,Text,,小心思,小心思,小心思
DateChapterName_100102,Text,,小心思,小心思,小心思
DateChapterName_100103,Text,,小心思,小心思,小心思
DateChapterName_100104,Text,,小心思,小心思,小心思
DateChapterName_100201,Text,,小心思,小心思,小心思
DateChapterName_100202,Text,,小心思,小心思,小心思
DateChapterName_100203,Text,,小心思,小心思,小心思
DateChapterName_100204,Text,,小心思,小心思,小心思
DateChapterName_100301,Text,,小心思,小心思,小心思
DateChapterName_100302,Text,,小心思,小心思,小心思
DateChapterName_100303,Text,,小心思,小心思,小心思
DateChapterName_100304,Text,,小心思,小心思,小心思
DateChapterName_100401,Text,,小心思,小心思,小心思
DateChapterName_100402,Text,,小心思,小心思,小心思
DateChapterName_100403,Text,,小心思,小心思,小心思
DateChapterName_100404,Text,,小心思,小心思,小心思
DateChapterName_100501,Text,,小心思,小心思,小心思
DateChapterName_100502,Text,,小心思,小心思,小心思
DateChapterName_100503,Text,,小心思,小心思,小心思
DateChapterName_100504,Text,,小心思,小心思,小心思
DateChapterName_100601,Text,,小心思,小心思,小心思
DateChapterName_100602,Text,,小心思,小心思,小心思
DateChapterName_100603,Text,,小心思,小心思,小心思
DateChapterName_100604,Text,,小心思,小心思,小心思
DateChapterName_100701,Text,,小心思,小心思,小心思
DateChapterName_100702,Text,,小心思,小心思,小心思
DateChapterName_100703,Text,,小心思,小心思,小心思
DateChapterName_100704,Text,,小心思,小心思,小心思
DateChapterName_100801,Text,,小心思,小心思,小心思
DateChapterName_100802,Text,,小心思,小心思,小心思
DateChapterName_100803,Text,,小心思,小心思,小心思
DateChapterName_100804,Text,,小心思,小心思,小心思
DateChapterName_100901,Text,,小心思,小心思,小心思
DateChapterName_100902,Text,,小心思,小心思,小心思
DateChapterName_100903,Text,,小心思,小心思,小心思
DateChapterName_100904,Text,,小心思,小心思,小心思
DateChapterName_101001,Text,,小心思,小心思,小心思
DateChapterName_101002,Text,,小心思,小心思,小心思
DateChapterName_101003,Text,,小心思,小心思,小心思
DateChapterName_101004,Text,,小心思,小心思,小心思
EGoodsType_BlindBox,Text,,盲盒礼包,盲盒礼包,盲盒礼包
EGoodsType_Daily,Text,,每日礼包,每日礼包,每日礼包
EGoodsType_Festival,Text,,节日礼包,节日礼包,节日礼包
EGoodsType_FirstDeposit,Text,,首充礼包,首充礼包,首充礼包
EGoodsType_Gold,Text,,金币礼包,金币礼包,金币礼包
EGoodsType_Prop,Text,,道具礼包,道具礼包,道具礼包
Goods_Name_100000,Text,,首充礼包,首充礼包,首充礼包
Goods_Name_100001,Text,,每日特惠,每日特惠,每日特惠
Goods_Name_100002,Text,,至尊礼包,至尊礼包,至尊礼包
Goods_Name_100003,Text,,金币礼包,金币礼包,金币礼包
Goods_Name_100004,Text,,双11节日礼包,双11节日礼包,双11节日礼包
Goods_Name_100005,Text,,礼物碎片礼包,礼物碎片礼包,礼物碎片礼包
Goods_Name_100006,Text,,突破礼包,突破礼包,突破礼包
Goods_Name_100007,Text,,角色道具盲盒,角色道具盲盒,角色道具盲盒
Goods_Name_100008,Text,,能量礼包,能量礼包,能量礼包
ItemDesc_200001,Text,,玫瑰,玫瑰,玫瑰
ItemDesc_200002,Text,,口红,口红,口红
ItemDesc_200003,Text,,钻戒,钻戒,钻戒
ItemDesc_200004,Text,,纲手(碎片),纲手(碎片),纲手(碎片)
ItemDesc_200005,Text,,项圈,项圈,项圈
ItemDesc_200006,Text,,项链,项链,项链
ItemDesc_200007,Text,,手表,手表,手表
ItemDesc_200008,Text,,巧克力,巧克力,巧克力
ItemDesc_200009,Text,,发饰,发饰,发饰
ItemDesc_200010,Text,,挎包,挎包,挎包
ItemDesc_200011,Text,,角色2碎片,角色2碎片,角色2碎片
ItemDesc_200012,Text,,角色3碎片,角色3碎片,角色3碎片
ItemDesc_200013,Text,,角色4碎片,角色4碎片,角色4碎片
ItemDesc_200014,Text,,角色5碎片,角色5碎片,角色5碎片
ItemDesc_200015,Text,,角色6碎片,角色6碎片,角色6碎片
ItemDesc_200016,Text,,角色7碎片,角色7碎片,角色7碎片
ItemDesc_200017,Text,,角色8碎片,角色8碎片,角色8碎片
ItemDesc_200018,Text,,角色9碎片,角色9碎片,角色9碎片
ItemDesc_200019,Text,,角色10碎片,角色10碎片,角色10碎片
ItemDesc_200020,Text,,角色11碎片,角色11碎片,角色11碎片
ItemDesc_200021,Text,,棒棒糖,棒棒糖,棒棒糖
ItemDesc_200022,Text,,炸弹,炸弹,炸弹
ItemDesc_200023,Text,,交换道具,交换道具,交换道具
ItemDesc_200024,Text,,巧克力球,巧克力球,巧克力球
ItemDesc_200025,Text,,30分钟,30分钟,30分钟
ItemDesc_200026,Text,,金币,金币,金币
ItemDesc_200027,Text,,调教币,调教币,调教币
ItemDesc_200028,Text,,精力,精力,精力
ItemDesc_200029,Text,,钻石,钻石,钻石
ItemName_200001,Text,,玫瑰,玫瑰,玫瑰
ItemName_200002,Text,,口红,口红,口红
ItemName_200003,Text,,钻戒,钻戒,钻戒
ItemName_200004,Text,,纲手(碎片),纲手(碎片),纲手(碎片)
ItemName_200005,Text,,项圈,项圈,项圈
ItemName_200006,Text,,项链,项链,项链
ItemName_200007,Text,,手表,手表,手表
ItemName_200008,Text,,巧克力,巧克力,巧克力
ItemName_200009,Text,,发饰,发饰,发饰
ItemName_200010,Text,,挎包,挎包,挎包
ItemName_200011,Text,,角色2碎片,角色2碎片,角色2碎片
ItemName_200012,Text,,角色3碎片,角色3碎片,角色3碎片
ItemName_200013,Text,,角色4碎片,角色4碎片,角色4碎片
ItemName_200014,Text,,角色5碎片,角色5碎片,角色5碎片
ItemName_200015,Text,,角色6碎片,角色6碎片,角色6碎片
ItemName_200016,Text,,角色7碎片,角色7碎片,角色7碎片
ItemName_200017,Text,,角色8碎片,角色8碎片,角色8碎片
ItemName_200018,Text,,角色9碎片,角色9碎片,角色9碎片
ItemName_200019,Text,,角色10碎片,角色10碎片,角色10碎片
ItemName_200020,Text,,角色11碎片,角色11碎片,角色11碎片
ItemName_200021,Text,,棒棒糖,棒棒糖,棒棒糖
ItemName_200022,Text,,炸弹,炸弹,炸弹
ItemName_200023,Text,,交换道具,交换道具,交换道具
ItemName_200024,Text,,巧克力球,巧克力球,巧克力球
ItemName_200025,Text,,无限精力,无限精力,无限精力
ItemName_200026,Text,,金币,金币,金币
ItemName_200027,Text,,调教币,调教币,调教币
ItemName_200028,Text,,精力,精力,精力
ItemName_200029,Text,,钻石,钻石,钻石
RalationLevelType_1,Text,,普通,普通,普通
RalationLevelType_2,Text,,亲近,亲近,亲近
RalationLevelType_3,Text,,好感,好感,好感
RalationLevelType_4,Text,,暧昧,暧昧,暧昧
RalationLevelType_5,Text,,爱慕,爱慕,爱慕
RalationLevelType_6,Text,,告白,告白,告白
Role_Name_400000,Text,,<size=170>千</size>手纲手,<size=170>千</size>手纲手,<size=170>千</size>手纲手
Role_Name_400001,Text,,<size=170>日</size>向雏田,<size=170>日</size>向雏田,<size=170>日</size>向雏田
Role_Name_400002,Text,,<size=170>春</size>野樱,<size=170>春</size>野樱,<size=170>春</size>野樱
Role_Name_400003,Text,,<size=170>山</size>中井野,<size=170>山</size>中井野,<size=170>山</size>中井野
Role_Name_400004,Text,,<size=170>灶</size>门弥豆子,<size=170>灶</size>门弥豆子,<size=170>灶</size>门弥豆子
Role_Name_400005,Text,,<size=170>甘</size>露寺蜜璃,<size=170>甘</size>露寺蜜璃,<size=170>甘</size>露寺蜜璃
Role_Name_400006,Text,,<size=170>堕</size>姬,<size=170>堕</size>姬,<size=170>堕</size>姬
Role_Name_400007,Text,,<size=170>蝴</size>蝶忍,<size=170>蝴</size>蝶忍,<size=170>蝴</size>蝶忍
Role_Name_400008,Text,,<size=170>诺</size>薇,<size=170>诺</size>薇,<size=170>诺</size>薇
Role_Name_400009,Text,,<size=170>艾</size>琳,<size=170>艾</size>琳,<size=170>艾</size>琳
Role_Name_400010,Text,,<size=170>千</size>羽,<size=170>千</size>羽,<size=170>千</size>羽
ShopCurrencyUnit,Text,,元,元,元
ShopGoldGift,Text,,<color=#00ff00>(赠送)</color>,<color=#00ff00>(赠送)</color>,<color=#00ff00>(赠送)</color>
Tips_NotEnoughItems,Text,,道具数量不足,道具数量不足,道具数量不足
UnlockTitle_Text,Text,,解锁条件{0}：,解锁条件{0}：,解锁条件{0}：
login,Text,,登陆,login,ログイン
